year_month,week_id,city_id,city,gas_id,gas_type,venue_name,gas_price,collected_date
202205,1195,1347,Fortaleza,488,GASOLINA ADITIVADA,Ipanema Comercio e Servicos de Derivados de Petroleo Ltda,7.59,10/05/2022
202205,1195,1347,Fortaleza,488,GASOLINA ADITIVADA,Posto Bom Jesus Comercio Servicos e Derivados de Petroleo Ltda,7.59,11/05/2022
202205,1195,1347,Fortaleza,488,GASOLINA ADITIVADA,Cauipe Revendedora de Petroleo Ltda,7.59,10/05/2022
202205,1195,7221,Natal,487,GASOLINA COMUM,L H da Costa Combustiveis,7.49,11/05/2022
202205,1195,1347,Fortaleza,812,DIESEL S10,Vm Fernandes Comércio de Combustíveis Ltda,6.99,10/05/2022
202205,1195,1347,Fortaleza,812,DIESEL S10,Dias e Roma Ltda,6.99,10/05/2022
202205,1195,1347,Fortaleza,812,DIESEL S10,Barracuda Comercial de Petróleo Ltda.,6.99,10/05/2022
202205,1195,1347,Fortaleza,812,DIESEL S10,M. Madalena Distribuidora de Combustivel Ltda,6.99,10/05/2022
202205,1195,1347,Fortaleza,812,DIESEL S10,Auto Abastecimento Santo Antonio Ltda,6.99,10/05/2022
202205,1195,1347,Fortaleza,487,GASOLINA COMUM,Apiguana Maquinas e Ferramentas Ltda,7.39,11/05/2022
202205,1195,1347,Fortaleza,487,GASOLINA COMUM,Posto Abn Ltda,7.39,10/05/2022
202205,1195,1347,Fortaleza,487,GASOLINA COMUM,Millennium Petróleo Ltda,7.39,10/05/2022
202205,1195,1347,Fortaleza,487,GASOLINA COMUM,Comercial de Combustiveis Castelao Ltda.,7.47,10/05/2022
202205,1195,1347,Fortaleza,487,GASOLINA COMUM,J A Comercio Combustiveis Ltda,7.47,10/05/2022
202205,1195,1347,Fortaleza,487,GASOLINA COMUM,Montese Comercio de Combustiveis Ltda,7.49,11/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Rede de Postos Omega de Abastecimentos de Combustiveis Ltda,7.89,10/05/2022
202205,1195,988,Salvador,812,DIESEL S10,"Grl Organizacao Revendedora de Combustiveis, Lubrificantes Ltda",7.9,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,G.r.revendedora de Combustiveis e Lubrificantes Eireli,7.94,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Jmf - Comercio de Combustiveis Ltda,7.96,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,"Grl Organizacao Revendedora de Combustiveis, Lubrificantes Ltda",7.979,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Posto de Combustiveis Neves Ltda,7.99,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Srb Revendedora de Combustiveis e Lubrificantes Ltda,7.99,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto Portoseco de Combustiveis Ltda,7.79,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Wl Comércio de Combustíveis Ltda,7.79,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto 29 de Marco Derivados de Petroleo Ltda,7.79,10/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Sodic Sociedade Revendedora de Combustiveis Ltda,5.93,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto Jequitaia Ltda,5.95,09/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto de Lubrificação Barbalho Ltda,5.96,09/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Plus Brasil Comercio e Representacoes Ltda,5.96,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Gas On Line - Comércio e Serviços Ltda.,7.99,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Posto Kalilandia Ltda,7.99,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,"Grl Organizacao Revendedora de Combustiveis, Lubrificantes Ltda",7.99,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Tic Comercio de Combustiveis Ltda.,7.99,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,"Grl Organizacao Revendedora de Combustiveis, Lubrificantes Ltda",7.99,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,G.r.revendedora de Combustiveis e Lubrificantes Eireli,7.99,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Ecopostos - Combustiveis e Servicos Ltda,7.99,09/05/2022
202205,1195,1347,Fortaleza,643,ETANOL HIDRADATO,Cauipe Revendedora de Petroleo Ltda,6.17,10/05/2022
202205,1195,1347,Fortaleza,643,ETANOL HIDRADATO,Cauipe Revendedora de Petroleo Ltda,6.19,10/05/2022
202205,1195,1347,Fortaleza,643,ETANOL HIDRADATO,J A Comercio Combustiveis Ltda,6.19,10/05/2022
202205,1195,1347,Fortaleza,643,ETANOL HIDRADATO,Dallas Derivados de Petroleo Ltda,6.19,10/05/2022
